Player,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zion Williamson,NOP,20,7-Jun,284,Duke,USA,2019,1,1,56,26.9,7.2,3.6,0.9,7.90%,13.50%,28.70%,65.50%,18.60%
Zeke Nnaji,DEN,20,9-Jun,240,Arizona,USA,2020,1,22,39,3.1,1.5,0.2,-10.7,3.60%,12.70%,12.60%,61.20%,3.20%
Zach LaVine,CHI,26,5-Jun,200,UCLA,USA,2014,1,13,53,27.5,5.1,5.1,-1.4,1.80%,12.50%,30.30%,63.30%,23.20%
Yuta Watanabe,TOR,26,9-Jun,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,42,4.1,3.2,0.7,1.1,5.50%,17.50%,11.80%,58.90%,7.50%
Yogi Ferrell,LAC,27,Jun-00,178,Indiana,USA,Undrafted,Undrafted,Undrafted,4,8.3,2,3.5,5.7,4.20%,7.40%,21.50%,49.70%,31.80%
Xavier Tillman,MEM,22,8-Jun,245,Michigan State,USA,2020,2,35,49,6.8,4.4,1.3,3,6.50%,16.30%,14.10%,59.90%,9.50%
Willy Hernangomez,NOP,26,11-Jun,250,None,Spain,2015,2,35,37,6.7,6.4,0.9,1.7,14.10%,24.40%,16.10%,58.40%,7.70%
Willie Cauley-Stein,DAL,27,Jul-00,240,Kentucky,USA,2015,1,6,41,5.6,4.3,0.7,9.3,7.10%,16.80%,12.70%,64.60%,5.80%
Will Magnay,NOP,22,10-Jun,234,None,Australia,Undrafted,Undrafted,Undrafted,1,0,0,0,-148.2,0.00%,0.00%,20.00%,0.00%,0.00%
Will Barton,DEN,30,6-Jun,181,Memphis,USA,2012,2,40,56,12.7,4,3.2,6,2.40%,10.90%,18.70%,53.80%,13.50%
Wesley Matthews,LAL,34,4-Jun,220,Marquette,USA,Undrafted,Undrafted,Undrafted,50,4.5,1.5,0.9,1.9,1.50%,6.30%,10.90%,49.70%,6.40%
Wes Iwundu,NOP,26,6-Jun,195,Kansas State,USA,2017,2,33,36,2.5,2.2,0.4,-4.3,2.20%,13.00%,10.30%,45.20%,4.20%
Wenyen Gabriel,NOP,24,9-Jun,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,11,2.2,1.7,0.7,5.3,9.20%,14.30%,16.30%,49.80%,15.10%
Wendell Carter Jr.,ORL,22,10-Jun,270,Duke,USA,2018,1,7,47,11.8,8.2,2,-8.2,9.00%,22.30%,18.90%,58.80%,11.80%
Wayne Ellington,DET,33,4-Jun,207,North Carolina,USA,2009,1,28,44,9.6,1.9,1.4,-4,1.20%,7.40%,16.00%,62.90%,9.70%
Vlatko Cancar,DEN,24,8-Jun,236,None,Slovenia,2017,2,49,34,1.4,1.1,0.3,-21.7,3.00%,16.20%,12.70%,51.60%,7.80%
Vincent Poirier,PHI,27,Jul-00,235,None,France,Undrafted,Undrafted,Undrafted,10,0.8,1.4,0.2,-19.4,13.00%,22.20%,19.40%,27.30%,8.00%
Victor Oladipo,MIA,28,4-Jun,213,Indiana,USA,2013,1,2,33,19.8,4.8,4.6,-2.3,1.00%,13.70%,28.60%,51.20%,23.30%
Vernon Carey Jr.,CHA,20,9-Jun,270,Duke,USA,2020,2,32,15,2.5,1.4,0.1,-7.3,3.40%,17.50%,17.10%,57.90%,3.30%
Udoka Azubuike,UTA,21,10-Jun,280,Kansas,Nigeria,2020,1,27,12,1,1.1,0,-60.9,7.40%,16.40%,10.70%,62.20%,0.00%
Tyus Jones,MEM,24,Jun-00,196,Duke,USA,2015,1,24,58,6.8,2.1,3.9,-2.8,1.70%,9.20%,16.70%,51.30%,30.40%
Tyrese Maxey,PHI,20,2-Jun,200,Kentucky,USA,2020,1,21,52,7.5,1.5,1.7,-6.2,1.10%,9.00%,21.90%,51.60%,19.00%
Tyrese Haliburton,SAC,21,5-Jun,185,Iowa State,USA,2020,1,12,55,12.8,3,5.2,-5.2,2.30%,7.70%,17.30%,58.30%,24.10%
Tyrell Terry,DAL,20,2-Jun,160,Stanford,USA,2020,2,31,11,1,0.5,0.5,0,0.00%,11.80%,13.50%,31.80%,15.80%
Tyler Johnson,BKN,28,3-Jun,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,32,5.4,1.9,1,2.9,0.90%,9.60%,13.50%,56.00%,7.70%
Tyler Herro,MIA,21,5-Jun,195,Kentucky,USA,2019,1,13,48,14.9,4.9,3.4,-5,1.50%,13.80%,22.40%,52.90%,18.20%
