Player,Position,SALARY
Jaylen Brown,SG,23735118
Carsen Edwards,PG,1517981
Tacko Fall,C,--
Evan Fournier,SG,17150000
Luke Kornet,C,2250000
Romeo Langford,SG,3631200
Aaron Nesmith,SF,3458400
Semi Ojeleye,PF,1752950
Jabari Parker,PF,6500000
Payton Pritchard,PG,2193480
Marcus Smart,PG,13446428
Jayson Tatum,SF,9897120
Tristan Thompson,C,9258000
Kemba Walker,PG,34379100
Tremont Waters,PG,--
Grant Williams,PF,2498760
Robert Williams III,C,2029920
Bruce Brown,SF,1663861
Chris Chiozza,PG,--
Nicolas Claxton,PF,1517981
Spencer Dinwiddie,PG,11454048
Kevin Durant,PF,40108950
Jeff Green,PF,1620564
Blake Griffin,PF,776983
James Harden,SG,41254920
Joe Harris,SF,16071429
Kyrie Irving,PG,31742000
Mike James,PG,--
Alize Johnson,PF,--
Tyler Johnson,SG,1620564
DeAndre Jordan,C,10375678
Timothe Luwawu-Cabarrot,SG,654469
Reggie Perry,PF,--
Landry Shamet,SG,2090040
RJ Barrett,SG,8231760
Reggie Bullock,SF,4200000
Alec Burks,SG,6000000
Taj Gibson,C,1442968
Jared Harper,PG,--
Kevin Knox II,SF,4588680
Nerlens Noel,C,5000000
Frank Ntilikina,PG,6176578
Elfrid Payton,PG,5000000
Norvel Pelle,PF,1079322
Theo Pinson,SG,1445697
Immanuel Quickley,SG,2105520
Julius Randle,PF,18900000
Mitchell Robinson,C,1663861
Derrick Rose,PG,7682927
Obi Toppin,PF,4862040
Seth Curry,SG,7834449
Joel Embiid,C,29542010
Danny Green,SF,15365853
Tobias Harris,PF,34358850
George Hill,G,9590602
Dwight Howard,C,1620564
Isaiah Joe,SG,898310
Mason Jones,SG,--
Furkan Korkmaz,SG,1762796
Tyrese Maxey,PG,2478840
Shake Milton,SG,1701593
Paul Reed,SF,--
Mike Scott,PF,5005350
Ben Simmons,PG,30559200
Matisse Thybulle,SG,2711280
Anthony Tolliver,F,--
Rayjon Tucker,SG,--
OG Anunoby,SF,3872215
Aron Baynes,C,7000000
DeAndre' Bembry,SG,1737145
Khem Birch,C,3000000
Chris Boucher,PF,6750000
Malachi Flynn,PG,1950600
Freddie Gillespie,F,--
Jalen Harris,SG,--
Rodney Hood,SG,10047450
Stanley Johnson,SF,3804150
Kyle Lowry,PG,30500000
Pascal Siakam,PF,30559200
Gary Trent Jr.,SG,1663861
Fred VanVleet,SG,21250000
Yuta Watanabe,SF,--
Paul Watson,SG,1445697
Kent Bazemore,SF,1620564
Stephen Curry,PG,43006362
Draymond Green,PF,22246956
Damion Lee,SG,1762796
Kevon Looney,C,4464226
Nico Mannion,PG,--
Mychal Mulder,SG,1517981
Kelly Oubre Jr.,SG,14375000
Eric Paschall,PF,1517981
Jordan Poole,SG,2063280
Alen Smailagic,PF,1517981
Klay Thompson,SG,35361360
Juan Toscano-Anderson,SF,1517981
Andrew Wiggins,SF,29542010
James Wiseman,C,8730240
Nicolas Batum,PF,1620564
Patrick Beverley,PG,13333333
Amir Coffey,SG,--
DeMarcus Cousins,C,1620564
Yogi Ferrell,G,--
Paul George,SG,35450412
Serge Ibaka,C,9258000
Reggie Jackson,PG,1620564
Luke Kennard,SG,5273826
Kawhi Leonard,SF,34379100
Terance Mann,SG,1517981
Marcus Morris Sr.,SF,14888721
Daniel Oturu,C,898310
Patrick Patterson,PF,3077704
Rajon Rondo,PG,7500000
Jay Scrubb,SG,--
Ivica Zubac,C,7000000
Kostas Antetokounmpo,PF,--
Devontae Cacok,PF,--
Kentavious Caldwell-Pope,SG,12073020
Alex Caruso,SG,2750000
Anthony Davis,PF,32742000
Andre Drummond,C,794536
Jared Dudley,SF,1620564
Marc Gasol,C,2564753
Montrezl Harrell,C,9258000
Talen Horton-Tucker,SG,1517981
LeBron James,SF,39219565
Kyle Kuzma,SF,3562178
Wesley Matthews,SG,3623000
Alfonzo McKinnie,SF,1762796
Ben McLemore,G,2283034
Markieff Morris,PF,1620564
Dennis Schroder,PG,16000000
Ty-Shon Alexander,SG,--
Deandre Ayton,C,9562920
Devin Booker,SG,29467800
Mikal Bridges,SF,4161000
Jevon Carter,PG,3925000
Torrey Craig,SF,1620564
Jae Crowder,PF,9258000
Langston Galloway,SG,1620564
Cameron Johnson,SF,4033440
Frank Kaminsky,PF,1620564
E'Twaun Moore,SG,1620564
Abdel Nader,SF,1752950
Chris Paul,PG,41358814
Cameron Payne,PG,1977011
Dario Saric,PF,9250000
Jalen Smith,PF,4245720
Marvin Bagley III,PF,8963640
Harrison Barnes,SF,22215909
Terence Davis,G,1517981
De'Aaron Fox,PG,8099627
Kyle Guy,SG,--
Tyrese Haliburton,PG,3831840
Maurice Harkless,SF,3623000
Buddy Hield,SG,24701834
Richaun Holmes,C,5005350
Justin James,SG,1517981
Damian Jones,C,1737145
Louis King,F,--
Chimezie Metu,PF,1620564
Jahmi'us Ramsey,SG,1000000
Hassan Whiteside,C,1620564
Robert Woodard II,SF,1500000
Delon Wright,G,9000000
Al-Farouq Aminu,PF,9720900
Ryan Arcidiacono,PG,3000000
Troy Brown Jr.,F,3219480
Devon Dotson,PG,--
Cristiano Felicio,PF,7529020
Javonte Green,G,1517981
Zach LaVine,SG,19500000
Lauri Markkanen,PF,6731508
Adam Mokoka,SG,--
Tomas Satoransky,SG,10000000
Garrett Temple,SF,4767000
Daniel Theis,C,5000000
Denzel Valentine,SG,4642800
Nikola Vucevic,C,26000000
Coby White,PG,5572680
Patrick Williams,PF,7068360
Thaddeus Young,PF,13545000
Jarrett Allen,C,3909902
Matthew Dellavedova,PG,1620564
Damyean Dotson,SG,2000000
Darius Garland,PG,6720720
Isaiah Hartenstein,C,1620564
Mfiondu Kabengele,F,2075880
Kevin Love,PF,31258256
Jeremiah Martin,G,--
Larry Nance Jr.,PF,11709091
Isaac Okoro,SF,6400920
Cedi Osman,SF,8840580
Taurean Prince,PF,12250000
Collin Sexton,PG,4991880
Lamar Stevens,PF,--
Brodric Thomas,SG,--
Anderson Varejao,C,--
Dean Wade,PF,1517981
Dylan Windler,SG,2137440
Saddiq Bey,SF,2689920
Tyler Cook,F,--
Hamidou Diallo,SG,1416852
Sekou Doumbouya,SF,3449400
Wayne Ellington,SG,1620564
Jerami Grant,SF,19050000
Killian Hayes,PG,5307120
Frank Jackson,PG,--
Josh Jackson,SG,4767000
Cory Joseph,PG,12600000
Saben Lee,PG,--
Rodney McGruder,SG,5192307
Jahlil Okafor,C,1882867
Mason Plumlee,C,8000000
Deividas Sirvydis,SG,898310
Dennis Smith Jr.,PG,5686677
Isaiah Stewart,C,3121080
Goga Bitadze,C,2957520
Amida Brimah,C,--
Oshae Brissett,F,1445697
Malcolm Brogdon,PG,20700000
Aaron Holiday,PG,2345640
Justin Holiday,SF,5720000
Jeremy Lamb,SG,10500000
Caris LeVert,SG,16203704
Kelan Martin,SG,1445697
T.J. McConnell,PG,3500000
Doug McDermott,SF,7333333
Domantas Sabonis,PF,19800000
JaKarr Sampson,SF,1620564
Cassius Stanley,SG,--
Edmond Sumner,PG,2160000
Myles Turner,C,18000000
T.J. Warren,SF,12500000
Giannis Antetokounmpo,PF,27528090
Thanasis Antetokounmpo,SF,1701593
Pat Connaughton,SG,4938272
Donte DiVincenzo,SG,3044160
Mamadi Diakite,PF,--
Bryn Forbes,SG,2337145
Jrue Holiday,PG,26231111
Justin Jackson,SF,5029650
Rodions Kurucs,SF,1780152
Brook Lopez,C,12697674
Sam Merrill,SG,898310
Khris Middleton,SF,33051724
Jordan Nwora,SF,898310
Bobby Portis,C,3623000
Jeff Teague,PG,1620564
Axel Toupane,SG,--
P.J. Tucker,PF,7969537
Tyler Bey,SG,--
Jalen Brunson,PG,1663861
Trey Burke,PG,3000000
Willie Cauley-Stein,C,4100000
Luka Doncic,PG,8049360
Dorian Finney-Smith,PF,4000000
Josh Green,SG,2816760
Tim Hardaway Jr.,SF,18975000
Nate Hinton,SG,--
Maxi Kleber,PF,8325000
Boban Marjanovic,C,3500000
Nicolo Melli,PF,4102564
Kristaps Porzingis,C,29467800
Dwight Powell,C,11080125
JJ Redick,SG,13013700
Josh Richardson,SG,10865952
Tyrell Terry,PG,1289846
D.J. Augustin,PG,6666667
Avery Bradley,PG,5635000
Armoni Brooks,G,--
Sterling Brown,SF,1620564
Dante Exum,PG,9600000
Eric Gordon,SG,16869276
Danuel House Jr.,SF,3717000
DaQuan Jeffries,F,1445697
Anthony Lamb,F,--
Kenyon Martin Jr.,SF,898310
David Nwaba,SF,1824003
Kelly Olynyk,PF,12598243
Kevin Porter Jr.,SG,1717981
Jae'Sean Tate,SF,1445697
John Wall,PG,41254920
D.J. Wilson,PF,4548280
Christian Wood,C,13015873
Grayson Allen,SG,2545320
Kyle Anderson,SF,9505100
Desmond Bane,SG,1936440
Dillon Brooks,SF,11400000
Brandon Clarke,PF,2602920
Tim Frazier,G,1620564
Jaren Jackson Jr.,PF,7257360
Tyus Jones,PG,8817143
John Konchar,SG,2100000
Sean McDermott,SG,--
De'Anthony Melton,SG,9571712
Ja Morant,PG,9166800
Jontay Porter,PF,1900000
Killian Tillie,C,--
Xavier Tillman,C,1300000
Jonas Valanciunas,C,15000000
Justise Winslow,PF,13000000
Steven Adams,C,29592696
Nickeil Alexander-Walker,SG,3113160
Lonzo Ball,PG,11003782
Eric Bledsoe,SG,16875000
Wenyen Gabriel,PF,1620564
Josh Hart,SG,3491159
Jaxson Hayes,C,5105160
Willy Hernangomez,C,1620564
Brandon Ingram,SF,27285000
Wes Iwundu,SF,1678854
James Johnson,PF,16047100
Kira Lewis Jr.,PG,3640200
Marcos Louzada Silva,G,--
Naji Marshall,SF,--
James Nunnally,F,1349383
Zion Williamson,PF,10245480
Keita Bates-Diop,SF,1663861
DeMar DeRozan,SF,27739975
Gorgui Dieng,C,17287640
Drew Eubanks,PF,1620564
Rudy Gay,SF,14500000
Keldon Johnson,SF,2048040
Tre Jones,PG,898310
Trey Lyles,PF,5500000
Patty Mills,PG,13535714
Dejounte Murray,PG,14286000
Jakob Poeltl,C,8101852
Luka Samanic,PF,2892000
Devin Vassell,SG,4033440
Lonnie Walker IV,SG,2892000
Quinndary Weatherspoon,SG,--
Derrick White,PG,3516284
Bogdan Bogdanovic,SG,18000000
Clint Capela,C,16000000
John Collins,PF,4137302
Kris Dunn,PG,4767000
Bruno Fernando,PF,1517981
Danilo Gallinari,PF,19500000
Brandon Goodwin,PG,1701593
Solomon Hill,SF,1620564
Kevin Huerter,SG,2761920
De'Andre Hunter,SF,7422000
Nathan Knight,PF,--
Skylar Mays,SG,--
Onyeka Okongwu,PF,5813640
Cam Reddish,SF,4458000
Tony Snell,SF,12178571
