#,Player,Team,GP_x,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP_y,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT,Position,SALARY
1,Trae Young,ATL,54,34.2,7.6,17.8,0.429,2.3,6.4,0.357,7.7,8.8,0.874,4.2,1.9,0.6,3.3,3.9,9.6,0.9,0.2,25.3,ATL,22,180,Oklahoma,USA,2018,1,5,54,25.3,3.9,9.6,4.5,1.9,9.3,31.8,58.3,42.8,73,PG,6571800
2,John Collins,ATL,52,30.0,7.0,12.7,0.548,1.2,3.3,0.376,2.7,3.2,0.833,1.3,3.2,2.1,5.6,7.7,1.4,0.5,1.0,17.9,ATL,23,235,Wake Forest,USA,2017,1,19,53,17.8,7.7,1.3,3.1,6.8,18.2,21.4,63.4,7.0,81,PF,4137302
3,De'Andre Hunter,ATL,20,31.2,5.6,11.2,0.502,1.6,4.3,0.356,3.2,3.8,0.867,1.4,2.6,0.8,4.3,5.1,2.1,0.9,0.5,16.0,ATL,23,225,Virginia,USA,2019,1,4,20,16.0,5.1,2.1,4.6,2.5,12.6,18.8,62.5,10.3,80,SF,7422000
4,Clint Capela,ATL,53,30.6,6.7,11.2,0.601,0.0,0.0,0.0,2.1,3.6,0.583,1.2,2.3,4.8,9.8,14.7,0.8,0.7,2.2,15.5,ATL,26,240,None,Switzerland,2014,1,25,54,15.5,14.7,0.8,6.5,15.5,30.6,19.4,60.4,4.2,82,C,16000000
5,Bogdan Bogdanovic,ATL,36,28.8,5.6,12.2,0.46,3.0,7.1,0.424,0.9,1.0,0.892,1.2,2.2,0.5,3.2,3.6,3.2,1.0,0.2,15.2,ATL,28,220,None,Serbia,2014,1,27,37,15.2,3.7,3.2,2.5,1.6,10.9,21.0,59.2,17.0,78,SG,18000000
6,Danilo Gallinari,ATL,41,23.9,4.0,9.5,0.425,2.1,5.2,0.407,3.3,3.6,0.938,0.9,2.1,0.3,3.8,4.0,1.4,0.5,0.2,13.5,ATL,32,233,None,Italy,2008,1,6,42,13.5,4.0,1.4,5.3,1.4,15.3,21.6,61.5,9.4,82,PF,19500000
7,Lou Williams,ATL,14,23.6,4.4,10.8,0.411,1.3,2.9,0.45,2.1,2.4,0.882,1.9,1.0,0.2,1.4,1.6,3.4,0.5,0.1,12.3,ATL,34,175,None,USA,2005,2,45,56,12.2,2.0,3.4,2.7,1.4,7.3,24.7,52.6,22.6,73,SG,8000000
4,Lou Williams,LAC,42,21.9,4.3,10.2,0.421,1.1,2.8,0.378,2.5,2.8,0.866,1.6,1.0,0.4,1.7,2.1,3.4,0.9,0.1,12.1,ATL,34,175,None,USA,2005,2,45,56,12.2,2.0,3.4,2.7,1.4,7.3,24.7,52.6,22.6,73,SG,8000000
8,Kevin Huerter,ATL,61,31.4,4.7,10.8,0.438,2.1,5.7,0.367,0.8,1.0,0.783,1.2,2.4,0.6,2.8,3.3,3.6,1.2,0.2,12.3,ATL,22,190,Maryland,USA,2018,1,19,62,12.3,3.3,3.5,0.2,1.8,8.8,16.8,55.1,16.2,79,SG,2761920
9,Cam Reddish,ATL,26,28.9,3.7,10.1,0.365,1.3,4.8,0.262,2.6,3.2,0.817,1.3,2.6,0.8,3.2,4.0,1.3,1.3,0.3,11.2,ATL,21,218,Duke,USA,2019,1,10,26,11.2,4.0,1.3,-4.0,2.8,10.9,18.3,48.8,6.6,80,SF,4458000
10,Tony Snell,ATL,40,21.0,1.9,3.7,0.517,1.4,2.5,0.571,0.3,0.3,1.0,0.5,1.6,0.4,2.0,2.4,1.3,0.2,0.2,5.5,ATL,29,213,New Mexico,USA,2013,1,20,40,5.5,2.4,1.3,2.6,1.8,8.9,8.6,72.1,8.3,78,SF,12178571
11,Brandon Goodwin,ATL,42,12.9,1.8,4.5,0.393,0.7,2.1,0.333,0.6,1.0,0.659,0.7,0.8,0.2,1.3,1.5,1.9,0.3,0.0,4.9,ATL,25,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,43,5.0,1.5,2.0,-0.8,1.3,9.5,18.9,47.7,24.3,72,PG,1701593
12,Solomon Hill,ATL,60,21.4,1.6,4.4,0.365,1.0,3.2,0.325,0.4,0.6,0.735,0.6,1.7,0.6,2.3,2.9,1.0,0.7,0.2,4.7,ATL,30,226,Arizona,USA,2013,1,23,61,4.6,3.0,1.0,0.6,2.7,10.9,10.4,49.5,6.1,78,SF,1620564
13,Rajon Rondo,ATL,27,14.9,1.6,4.1,0.4,0.6,1.7,0.378,0.0,0.1,0.5,1.4,0.9,0.1,1.9,2.0,3.5,0.7,0.1,3.9,LAC,35,180,Kentucky,USA,2006,1,21,37,4.6,2.2,4.0,1.5,2.1,10.3,15.9,50.6,36.1,73,PG,7500000
12,Rajon Rondo,LAC,9,18.5,2.4,5.3,0.458,0.8,2.1,0.368,1.0,1.0,1.0,1.7,1.9,0.8,1.7,2.4,5.2,0.8,0.1,6.7,LAC,35,180,Kentucky,USA,2006,1,21,37,4.6,2.2,4.0,1.5,2.1,10.3,15.9,50.6,36.1,73,PG,7500000
14,Onyeka Okongwu,ATL,39,11.2,1.6,2.6,0.598,0.0,0.1,0.0,0.7,1.2,0.622,0.5,2.0,1.1,1.9,3.0,0.2,0.4,0.6,3.8,ATL,20,235,Southern California,USA,2020,1,6,40,3.9,3.0,0.2,-9.2,8.8,18.4,13.5,62.5,3.2,80,PF,5813640
15,Nathan Knight,ATL,27,8.3,1.1,2.9,0.372,0.2,0.9,0.2,1.2,1.5,0.805,0.6,0.7,0.8,1.2,2.0,0.2,0.3,0.3,3.6,ATL,23,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,28,3.6,2.0,0.2,-5.7,9.1,14.6,20.6,50.6,4.3,82,PF,0
16,Skylar Mays,ATL,27,7.4,1.0,2.6,0.394,0.4,1.1,0.345,0.8,0.9,0.88,0.3,0.5,0.3,0.6,1.0,0.8,0.4,0.0,3.3,ATL,23,205,Louisiana State,USA,2020,2,50,28,3.1,0.9,0.8,3.8,4.4,8.5,19.0,52.4,16.3,76,SG,0
17,Bruno Fernando,ATL,27,6.7,0.4,1.0,0.429,0.0,0.1,0.0,0.4,0.7,0.667,0.7,0.7,0.5,1.9,2.4,0.3,0.1,0.1,1.3,ATL,22,240,Maryland,Angola,2019,2,34,28,1.3,2.3,0.3,-7.6,6.4,26.3,12.0,50.1,7.9,81,PF,1517981
1,Jayson Tatum,BOS,55,35.6,9.2,20.3,0.453,2.9,7.5,0.383,4.3,5.0,0.869,2.7,1.8,0.7,6.7,7.4,4.3,1.2,0.4,25.7,BOS,23,210,Duke,USA,2017,1,3,55,25.7,7.4,4.3,3.2,2.0,19.1,29.6,56.9,19.6,80,SF,9897120
