#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Trae Young,ATL,54,34.2,7.6,17.8,0.429,2.3,6.4,0.357,7.7,8.8,0.874,4.2,1.9,0.6,3.3,3.9,9.6,0.9,0.2,25.3
2,John Collins,ATL,52,30,7,12.7,0.548,1.2,3.3,0.376,2.7,3.2,0.833,1.3,3.2,2.1,5.6,7.7,1.4,0.5,1,17.9
3,De'Andre Hunter,ATL,20,31.2,5.6,11.2,0.502,1.6,4.3,0.356,3.2,3.8,0.867,1.4,2.6,0.8,4.3,5.1,2.1,0.9,0.5,16
4,Clint Capela,ATL,53,30.6,6.7,11.2,0.601,0,0,0,2.1,3.6,0.583,1.2,2.3,4.8,9.8,14.7,0.8,0.7,2.2,15.5
5,Bogdan Bogdanovic,ATL,36,28.8,5.6,12.2,0.46,3,7.1,0.424,0.9,1,0.892,1.2,2.2,0.5,3.2,3.6,3.2,1,0.2,15.2
6,Danilo Gallinari,ATL,41,23.9,4,9.5,0.425,2.1,5.2,0.407,3.3,3.6,0.938,0.9,2.1,0.3,3.8,4,1.4,0.5,0.2,13.5
7,Lou Williams,ATL,14,23.6,4.4,10.8,0.411,1.3,2.9,0.45,2.1,2.4,0.882,1.9,1,0.2,1.4,1.6,3.4,0.5,0.1,12.3
8,Kevin Huerter,ATL,61,31.4,4.7,10.8,0.438,2.1,5.7,0.367,0.8,1,0.783,1.2,2.4,0.6,2.8,3.3,3.6,1.2,0.2,12.3
9,Cam Reddish,ATL,26,28.9,3.7,10.1,0.365,1.3,4.8,0.262,2.6,3.2,0.817,1.3,2.6,0.8,3.2,4,1.3,1.3,0.3,11.2
10,Tony Snell,ATL,40,21,1.9,3.7,0.517,1.4,2.5,0.571,0.3,0.3,1,0.5,1.6,0.4,2,2.4,1.3,0.2,0.2,5.5
11,Brandon Goodwin,ATL,42,12.9,1.8,4.5,0.393,0.7,2.1,0.333,0.6,1,0.659,0.7,0.8,0.2,1.3,1.5,1.9,0.3,0,4.9
12,Solomon Hill,ATL,60,21.4,1.6,4.4,0.365,1,3.2,0.325,0.4,0.6,0.735,0.6,1.7,0.6,2.3,2.9,1,0.7,0.2,4.7
13,Rajon Rondo,ATL,27,14.9,1.6,4.1,0.4,0.6,1.7,0.378,0,0.1,0.5,1.4,0.9,0.1,1.9,2,3.5,0.7,0.1,3.9
14,Onyeka Okongwu,ATL,39,11.2,1.6,2.6,0.598,0,0.1,0,0.7,1.2,0.622,0.5,2,1.1,1.9,3,0.2,0.4,0.6,3.8
15,Nathan Knight,ATL,27,8.3,1.1,2.9,0.372,0.2,0.9,0.2,1.2,1.5,0.805,0.6,0.7,0.8,1.2,2,0.2,0.3,0.3,3.6
16,Skylar Mays,ATL,27,7.4,1,2.6,0.394,0.4,1.1,0.345,0.8,0.9,0.88,0.3,0.5,0.3,0.6,1,0.8,0.4,0,3.3
17,Bruno Fernando,ATL,27,6.7,0.4,1,0.429,0,0.1,0,0.4,0.7,0.667,0.7,0.7,0.5,1.9,2.4,0.3,0.1,0.1,1.3
1,Jayson Tatum,BOS,55,35.6,9.2,20.3,0.453,2.9,7.5,0.383,4.3,5,0.869,2.7,1.8,0.7,6.7,7.4,4.3,1.2,0.4,25.7
