Player,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT
Zion Williamson,NOP,20,284,Duke,USA,2019,1,1,56,26.9,7.2,3.6,0.9,7.9,13.5,28.7,65.5,18.6,79
Zeke Nnaji,DEN,20,240,Arizona,USA,2020,1,22,39,3.1,1.5,0.2,-10.7,3.6,12.7,12.6,61.2,3.2,81
Zach LaVine,CHI,26,200,UCLA,USA,2014,1,13,53,27.5,5.1,5.1,-1.4,1.8,12.5,30.3,63.3,23.2,77
Yuta Watanabe,TOR,26,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,42,4.1,3.2,0.7,1.1,5.5,17.5,11.8,58.9,7.5,81
Yogi Ferrell,LAC,27,178,Indiana,USA,Undrafted,Undrafted,Undrafted,4,8.3,2.0,3.5,5.7,4.2,7.4,21.5,49.7,31.8,72
Xavier Tillman,MEM,22,245,Michigan State,USA,2020,2,35,49,6.8,4.4,1.3,3.0,6.5,16.3,14.1,59.9,9.5,80
Willy Hernangomez,NOP,26,250,None,Spain,2015,2,35,37,6.7,6.4,0.9,1.7,14.1,24.4,16.1,58.4,7.7,83
Willie Cauley-Stein,DAL,27,240,Kentucky,USA,2015,1,6,41,5.6,4.3,0.7,9.3,7.1,16.8,12.7,64.6,5.8,84
Will Magnay,NOP,22,234,None,Australia,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-148.2,0.0,0.0,20.0,0.0,0.0,82
Will Barton,DEN,30,181,Memphis,USA,2012,2,40,56,12.7,4.0,3.2,6.0,2.4,10.9,18.7,53.8,13.5,78
Wesley Matthews,LAL,34,220,Marquette,USA,Undrafted,Undrafted,Undrafted,50,4.5,1.5,0.9,1.9,1.5,6.3,10.9,49.7,6.4,76
Wes Iwundu,NOP,26,195,Kansas State,USA,2017,2,33,36,2.5,2.2,0.4,-4.3,2.2,13.0,10.3,45.2,4.2,78
Wenyen Gabriel,NOP,24,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,11,2.2,1.7,0.7,5.3,9.2,14.3,16.3,49.8,15.1,81
Wendell Carter Jr.,ORL,22,270,Duke,USA,2018,1,7,47,11.8,8.2,2.0,-8.2,9.0,22.3,18.9,58.8,11.8,82
Wayne Ellington,DET,33,207,North Carolina,USA,2009,1,28,44,9.6,1.9,1.4,-4.0,1.2,7.4,16.0,62.9,9.7,76
Vlatko Cancar,DEN,24,236,None,Slovenia,2017,2,49,34,1.4,1.1,0.3,-21.7,3.0,16.2,12.7,51.6,7.8,80
Vincent Poirier,PHI,27,235,None,France,Undrafted,Undrafted,Undrafted,10,0.8,1.4,0.2,-19.4,13.0,22.2,19.4,27.3,8.0,84
Victor Oladipo,MIA,28,213,Indiana,USA,2013,1,2,33,19.8,4.8,4.6,-2.3,1.0,13.7,28.6,51.2,23.3,76
Vernon Carey Jr.,CHA,20,270,Duke,USA,2020,2,32,15,2.5,1.4,0.1,-7.3,3.4,17.5,17.1,57.9,3.3,81
Udoka Azubuike,UTA,21,280,Kansas,Nigeria,2020,1,27,12,1.0,1.1,0.0,-60.9,7.4,16.4,10.7,62.2,0.0,82
Tyus Jones,MEM,24,196,Duke,USA,2015,1,24,58,6.8,2.1,3.9,-2.8,1.7,9.2,16.7,51.3,30.4,72
Tyrese Maxey,PHI,20,200,Kentucky,USA,2020,1,21,52,7.5,1.5,1.7,-6.2,1.1,9.0,21.9,51.6,19.0,74
Tyrese Haliburton,SAC,21,185,Iowa State,USA,2020,1,12,55,12.8,3.0,5.2,-5.2,2.3,7.7,17.3,58.3,24.1,77
Tyrell Terry,DAL,20,160,Stanford,USA,2020,2,31,11,1.0,0.5,0.5,0.0,0.0,11.8,13.5,31.8,15.8,74
Tyler Johnson,BKN,28,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,32,5.4,1.9,1.0,2.9,0.9,9.6,13.5,56.0,7.7,75
Tyler Herro,MIA,21,195,Kentucky,USA,2019,1,13,48,14.9,4.9,3.4,-5.0,1.5,13.8,22.4,52.9,18.2,77
Tyler Cook,DET,23,255,Iowa,USA,Undrafted,Undrafted,Undrafted,22,3.5,2.5,0.5,-4.0,7.1,14.0,13.5,58.9,6.3,80
Tyler Bey,DAL,23,215,Colorado,USA,2020,2,36,11,0.9,1.2,0.1,-16.7,11.6,20.5,14.1,36.3,4.2,79
Ty-Shon Alexander,PHX,22,195,Creighton,USA,Undrafted,Undrafted,Undrafted,9,0.7,0.6,0.1,10.3,2.8,12.5,17.4,27.6,5.9,75
Ty Jerome,OKC,23,195,Virginia,USA,2019,1,24,28,10.3,2.8,3.6,-8.1,1.4,9.7,17.6,56.7,21.9,77
Troy Brown Jr.,CHI,21,215,Oregon,USA,2018,1,15,34,4.7,3.1,0.9,3.1,3.9,15.8,14.1,52.5,7.6,78
Tristan Thompson,BOS,30,254,Texas-Austin,Canada,2011,1,4,46,7.9,8.1,1.1,2.4,12.4,21.7,15.0,55.4,6.6,81
Trey Lyles,SAS,25,234,Kentucky,Canada,2015,1,12,23,5.0,3.7,0.6,-14.5,2.2,21.3,12.8,57.4,6.0,81
Trey Burke,DAL,28,185,Michigan,USA,2013,1,9,50,6.7,0.9,1.4,-0.3,0.8,5.0,19.0,56.5,14.4,72
Trevor Ariza,MIA,35,215,UCLA,USA,2004,2,43,21,8.7,4.6,1.8,3.0,2.9,14.7,14.5,53.1,8.9,80
Trent Forrest,UTA,22,210,Florida State,USA,Undrafted,Undrafted,Undrafted,19,0.9,0.4,1.1,-21.1,0.0,7.0,11.4,43.1,26.3,76
Tremont Waters,BOS,23,175,Louisiana State,USA,2019,2,51,18,2.8,0.6,2.0,-10.0,2.4,5.7,20.3,53.0,43.4,70
Tre Jones,SAS,21,185,Duke,USA,2020,2,41,29,1.9,0.4,0.7,-21.0,3.0,5.2,17.7,52.9,22.9,73
Trae Young,ATL,22,180,Oklahoma,USA,2018,1,5,54,25.3,3.9,9.6,4.5,1.9,9.3,31.8,58.3,42.8,73
Torrey Craig,PHX,30,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,39,4.7,3.6,0.9,-6.4,6.7,18.7,13.6,58.5,9.3,79
Tony Snell,ATL,29,213,New Mexico,USA,2013,1,20,40,5.5,2.4,1.3,2.6,1.8,8.9,8.6,72.1,8.3,78
Tony Bradley,OKC,23,248,North Carolina,USA,2017,1,28,35,7.1,5.7,0.8,1.1,12.7,22.0,15.3,67.5,7.2,82
Tomas Satoransky,CHI,29,210,None,Czech Republi...,2012,2,32,49,7.8,2.4,4.9,-1.0,2.3,8.4,14.8,61.6,27.9,79
Tobias Harris,PHI,28,226,Tennessee,USA,2011,1,19,52,20.0,7.1,3.6,6.5,3.0,17.9,23.8,60.5,17.7,80
Timothe Luwawu-Cabarrot,BKN,25,220,None,France,2016,1,24,53,6.6,2.4,1.2,0.3,2.5,9.5,16.4,48.8,8.3,79
Tim Hardaway Jr.,DAL,29,205,Michigan,USA,2013,1,24,59,15.6,3.3,1.7,-0.5,1.0,10.1,22.6,56.6,9.1,77
Tim Frazier,MEM,30,170,Penn State,USA,Undrafted,Undrafted,Undrafted,3,1.3,1.3,2.3,12.1,0.0,11.1,13.6,25.0,30.4,72
Thon Maker,CLE,24,221,None,South Sudan,2016,1,10,8,3.8,2.3,0.5,-10.9,9.3,11.8,14.5,65.7,10.0,84
Thomas Bryant,WAS,23,248,Indiana,USA,2017,2,42,10,14.3,6.1,1.5,-2.1,6.3,16.3,16.3,70.4,7.9,82
Theo Pinson,NYK,25,212,North Carolina,USA,Undrafted,Undrafted,Undrafted,14,0.1,0.1,0.1,-20.5,0.0,5.1,13.2,11.1,7.1,77
Theo Maledon,OKC,19,175,None,France,2020,2,34,55,9.9,3.4,3.5,-15.6,1.3,10.4,18.3,49.3,19.3,76
Thanasis Antetokounmpo,MIL,28,219,None,Greece,2014,2,51,48,3.3,2.5,0.9,3.3,9.9,11.7,14.9,54.8,11.6,78
Thaddeus Young,CHI,32,235,Georgia Tech,USA,2007,1,12,57,12.1,6.2,4.2,4.1,10.6,15.6,21.2,59.8,24.7,80
Terry Rozier,CHA,27,190,Louisville,USA,2015,1,16,57,20.6,4.2,4.1,-2.0,1.5,10.5,23.8,59.4,18.8,73
Terrence Ross,ORL,30,206,Washington,USA,2012,1,8,46,15.6,3.4,2.3,-8.8,1.0,10.4,23.0,53.0,13.3,78
Terrance Ferguson,PHI,22,190,None,USA,2017,1,21,13,0.2,0.1,0.2,-17.8,0.0,2.4,9.4,14.3,5.7,78
Terence Davis,SAC,23,201,Mississippi,USA,Undrafted,Undrafted,Undrafted,50,7.2,2.1,1.1,-3.0,1.4,11.9,20.3,54.4,11.2,76
Terance Mann,LAC,24,215,Florida State,USA,2019,2,48,60,6.8,3.7,1.7,3.1,4.4,14.1,14.2,58.1,11.9,77
Taurean Prince,CLE,27,218,Baylor,USA,2016,1,12,41,9.5,3.5,1.9,-6.1,2.1,13.2,18.9,54.0,12.1,79
Talen Horton-Tucker,LAL,20,234,Iowa State,USA,2019,2,46,56,8.7,2.7,2.5,0.6,1.9,10.9,21.0,52.4,19.3,76
Taj Gibson,NYK,35,232,Southern California,USA,2009,1,26,35,5.2,5.4,0.7,5.8,10.4,15.3,9.6,65.6,5.0,81
Tacko Fall,BOS,25,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted,15,2.7,2.5,0.1,13.5,12.2,23.5,14.0,67.3,2.5,89
T.J. Warren,IND,27,220,North Carolina State,USA,2014,1,14,4,15.5,3.5,1.3,2.6,1.7,10.6,21.3,56.0,6.0,80
T.J. McConnell,IND,29,190,Arizona,USA,2015,0,,57,8.1,3.6,6.6,2.0,2.8,10.8,14.3,58.4,34.6,73
Svi Mykhailiuk,OKC,23,205,Kansas,Ukraine,2018,2,47,57,7.9,2.5,1.6,-7.9,1.9,10.3,18.1,53.2,12.3,79
Steven Adams,NOP,27,265,Pittsburgh,New Zealand,2013,1,12,56,7.8,9.0,1.9,-0.1,13.5,18.6,11.9,60.2,8.7,83
Sterling Brown,HOU,26,219,Southern Methodist,USA,2017,2,46,51,8.2,4.4,1.4,-5.4,2.9,14.7,13.3,59.7,8.8,77
Stephen Curry,GSW,33,185,Davidson,USA,2009,1,7,53,31.3,5.6,5.8,3.6,1.3,14.0,32.1,66.1,28.3,75
Stanley Johnson,TOR,24,242,Arizona,USA,2015,1,8,51,3.4,2.3,1.2,-6.8,2.8,13.7,11.4,53.5,12.0,78
Spencer Dinwiddie,BKN,28,215,Colorado,USA,2014,2,38,3,6.7,4.3,3.0,29.8,0.0,15.1,15.4,53.6,17.3,77
Solomon Hill,ATL,30,226,Arizona,USA,2013,1,23,61,4.6,3.0,1.0,0.6,2.7,10.9,10.4,49.5,6.1,78
Skylar Mays,ATL,23,205,Louisiana State,USA,2020,2,50,28,3.1,0.9,0.8,3.8,4.4,8.5,19.0,52.4,16.3,76
Sindarius Thornwell,NOP,26,215,South Carolina,USA,2017,2,48,14,1.2,0.4,0.3,5.2,1.3,5.8,14.5,38.8,7.4,76
Shaquille Harrison,DEN,27,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,23,1.5,0.7,0.5,-13.8,2.8,8.8,13.6,43.2,13.2,79
Shake Milton,PHI,24,205,Southern Methodist,USA,2018,2,54,53,13.3,2.3,2.9,4.0,2.2,7.0,24.0,54.6,19.9,77
Shai Gilgeous-Alexander,OKC,22,180,Kentucky,Canada,2018,1,11,35,23.7,4.7,5.9,-7.7,1.5,11.9,28.3,62.3,31.1,78
Seth Curry,PHI,30,185,Duke,USA,Undrafted,Undrafted,Undrafted,48,12.0,2.1,2.8,6.9,0.7,6.4,17.0,57.9,13.1,74
